neg_words,value
fierce,-35.51229429801977
consumerfriendly,-35.45516718479036
commuting,-35.25573947458009
ithardware,-35.196647384253104
reposting,-35.121641239889605
hulu,-35.06661603392069
assume,-34.95959617068159
blemishes,-34.88765340518904
polished,-34.87888235267088
dinosaur,-34.84402865926573
terrorist,-34.76342891148529
chews,-34.650888369676835
aaps,-34.629944643019456
resultatt,-34.55675496619799
dealing,-34.11525839189322
minutesyr,-34.078578997176635
arrive,-33.82554058332244
audible,-33.807327517116086
am揭rica,-33.68166686978619
destroys,-33.520659915612974
managing,-33.37538818439846
base,-33.373784140523576
companydaniel,-33.1950350157567
economy,-33.19349050083112
deviceconsoperating,-33.13298249958513
chaos,-33.087153557582106
advertising,-33.08069635001395
designs,-33.028527290890445
dedicated,-32.91651421188891
guysi,-32.900843855975566
beneath,-32.89510290168884
reveiw,-32.580539508925746
stats,-32.46963793672564
attzero,-32.39437551093538
breed,-32.34931533293876
final,-32.2560697628138
drainage,-32.20131342332838
bloquea,-32.153064230139925
origional,-32.078605208680514
worn,-31.96096575811063
cloud,-31.943813274447738
gears,-31.857264469754153
nightstand,-31.79420717765048
additional,-31.757832660114943
abombada,-31.750922206283313
strive,-31.65778367330748
availablegalaxy,-31.624309014452294
enclosure,-31.523850722487328
map,-31.459017441863864
phonewe,-31.411161158332238
flashy,-31.368636837375053
cosmetically,-31.350006861527266
thinga,-31.33545673079284
etc痒堺痒,-31.212961414227482
lytro,-31.132705782239277
baited,-31.131516969863632
emitting,-31.002075811906533
afternoon,-30.878592214864643
featuresoverall,-30.818405420192857
apparently,-30.81816502310054
client,-30.694651071813446
bestbuy,-30.596138756792286
twoday,-30.551281353007866
create,-30.510053181786528
appstore,-30.464636356838945
emailing,-30.32599119394655
h堺痒,-30.291542869625932
mapsnavigation,-30.239800986404926
commendable,-30.22909552389268
blames,-30.172699385890578
ayer,-30.115557482175213
ahhhh,-30.044295298833575
blown,-29.73596902117183
slowest,-29.705717204149582
nowperformance,-29.67051705698594
drags,-29.51815256365077
belowthis,-29.51006324365951
slr,-29.18158309869987
beloved,-29.108576175462414
consequences,-28.854537885395306
qualities,-28.761429830559766
bricked,-28.753996146203853
means,-28.750660340988134
helix,-28.68126789847464
screenshots,-28.657378093120204
ownershipi,-28.64422516146012
brickif,-28.60971242817372
adefect,-28.376718052910444
cheapo,-28.198316042019847
ashamed,-28.111999112625814
began,-27.97072104938148
hefty,-27.950951511380552
goodwifi,-27.8270408641878
againsend,-27.795989965952817
allreally,-27.754347335378995
iphoneis,-27.737056977462892
amfm,-27.653628010593174
utter,-27.563462005701936
loudest,-27.512098226610135
upgradewhether,-27.45087482348911
badly,-27.407491043638178
leaked,-27.360617134167054
exposure,-27.228213735122274
installation,-27.05793028249557
additions,-27.018826238727613
background,-26.990838489756708
glasswont,-26.859242622288356
flimsy,-26.811785302180198
morning,-26.782284805388546
locatedthere,-26.64739278256233
facebookall,-26.62356347219397
nicerlooking,-26.604844416933734
chore,-26.577918234453268
blank,-26.502286557532493
hardearned,-26.373269635114863
examined,-26.354886567507016
pricebright,-26.32473402578181
horrified,-26.25266273824029
maxes,-26.22857563711637
damshame,-26.171908949977812
amount,-26.149245111015233
simfree,-26.094362748053815
beforesamsung,-26.089184247121786
advertises,-25.862679162834375
divnameinnerhtmlhtml,-25.71153304925394
agrivation,-25.693189487523433
additionally,-25.616172921584674
reputed,-25.477787424438016
hotter,-25.470488788101502
critics,-25.46098624932826
communicate,-25.45050273743324
afghanistan,-25.378345881813203
detailsfeatures,-25.332936861064482
camerathe,-25.317289203136156
sliding,-25.26269210222009
instantly,-25.16533265600005
cache,-25.0048583886163
delays,-24.961999810878474
degree,-24.9236832687365
interested,-24.876041133329483
plasticy,-24.864832257559886
gigantic,-24.796860455150625
cyclone,-24.79457305044056
doug,-24.76689640461889
callnot,-24.744922849712957
heated,-24.73464461915177
itduo,-24.70758618967438
conscious,-24.68699574959701
bogus,-24.63007624360622
homemy,-24.62722732533084
hotspots,-24.56513776927091
borrowing,-24.51930493371725
craftsmanship,-24.51483291556227
bind,-24.469160696478415
forplease,-24.43251066151431
scratchesoverall,-24.390899492646327
bay,-24.339038521790627
asaving,-24.31593577624217
angle,-24.302113140946684
cal,-24.300069761084455
fromgrrr,-24.175303138365177
broadcasts,-24.146662979219382
intended,-24.10483369557661
simpleryou,-24.059640050821717
programmed,-24.018424993885013
buzzing,-23.907373602614594
daywent,-23.866020977415413
attempted,-23.837884013355676
engineers,-23.78047955545435
cpu,-23.779762050885683
gambled,-23.71240559352791
rice,-23.689691492921565
convert,-23.684717740007187
