custid,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,n_distinct(prod),ct_cov,vdays,day_mean_amt,day_cov,first_cnt.prod,second_cnt.prod,third_cnt.prod,first_money.prod_ct,second_money.prod_ct,third_money.prod_ct
C1303,0.03,0.47,0,0,0,0,0,0,0,0.44,0.06,0.36,15900,6,0,1,0,0,0.38,0.48,0,0,0.11,0.03,6,1.8939656099246027,5,3180,0.9160367103004621,bakery,cooky/cakes,fermentedmilk,drink,snack,vegetable
C1304,0.03,0.24,0,0,0.2,0,0.09,0.03,0,0.35,0.07,0.64,129580,21,0,0.41,0.59,0.08,0.31,0.21,0.02,0.39,0,0,15,1.2350968146510533,15,8638.666666666666,1.325647367179332,softdrinks,chilledagriculturalproducts,chilledlivestock,snack,drink,house_prod
C1305,0.02,0,0,0,0,0,0.43,0,0.36,0.14,0.05,0.45,27610,9,0.44,0.56,0,0,0.14,0.07,0.02,0.25,0.22,0.3,7,1.6487706282481178,7,3944.285714285714,0.5671189578084426,otherlivefish,snacks,beans,meat,seafood,snack
C1306,0,0,1,0,0,0,0,0,0,0,0,0.09,75000,1,0,1,0,0,0,0,0,0,1,0,1,3.162277660168379,1,75000,0,otherreadymadefoods,NA,NA,fastfood,NA,NA
C1307,0,0,1,0,0,0,0,0,0,0,0,0.09,8140,1,0,1,0,0,0,0,0,1,0,0,1,3.1622776601683795,1,8140,0,instantfoods,NA,NA,fastfood,NA,NA
C1308,0.26,0,0,0,0,0,0.29,0,0,0.46,0,0.27,28465,5,0.16,0.25,0.59,0.41,0,0,0,0.59,0,0,3,1.7089464104762466,3,9488.333333333334,0.687851633744828,milk,ready-madesnacks,koreanpork,snack,meat,dairy
C1309,0.06,0.02,0.33,0.1,0.04,0,0.28,0.02,0.11,0.02,0.03,0.91,156869,34,0,0.1,0.9,0.29,0.11,0.14,0.13,0.02,0,0.3,23,1.168795595721738,14,11204.92857142857,0.5994507605103407,beans,koreanpork,milk,fastfood,meat,seafood
C1310,0.1,0.79,0,0,0,0,0,0,0.04,0.05,0.03,0.45,108690,20,0.02,0.74,0.24,0.19,0.06,0.14,0.07,0.12,0.07,0.35,8,2.4516955923261796,19,5720.526315789473,0.5922696830885855,harddrinks,cheese/butter,chilledseafood,drink,dairy,snack
C1311,0,0,0,0.19,0,0,0,0,0.81,0,0,0.18,15400,4,0,0,1,0.26,0,0,0.32,0,0,0.42,4,2.560838583083388,3,5133.333333333333,0.24100271223180567,banana/importedfruits,chilledseafood,livefish,seafood,fruite,NA
C1312,0.12,0.18,0.11,0.18,0,0,0.08,0.11,0.05,0.09,0.08,0.82,92370,21,0.29,0.17,0.54,0,0.29,0,0,0.25,0.46,0,18,0.6212489016274684,6,15395,0.27698807837044787,harddrinks,icecream,milk,fruite,drink,dairy
C1313,0,0.29,0,0.71,0,0,0,0,0,0,0,0.18,13900,3,0.14,0.86,0,0,0,0.86,0.14,0,0,0,2,2.343270496383763,2,6950,1.0072456307549382,softdrinks,apple/sweetmelon,NA,fruite,drink,NA
C1314,0.07,0,0.05,0.17,0,0,0,0,0,0.67,0.04,0.45,58990,5,0.04,0.96,0,0,0,0.96,0.04,0,0,0,5,2.0902920821619198,4,14747.5,1.2783311656183605,eidbleherbs,fermentedmilk,minorcereals,snack,fruite,dairy
C1315,0,0.15,0.07,0,0.43,0,0.36,0,0,0,0,0.36,16280,6,0,0.36,0.64,0,0.06,0,0.51,0,0,0.43,6,1.6469384330542134,4,4070,0.6934320862518806,harddrinks,koreanchicken,noodles,house_prod,meat,drink
C1316,0,0.61,0.39,0,0,0,0,0,0,0,0,0.18,14240,3,0,1,0,0,0,0,0,1,0,0,3,2.18422584428004,1,14240,0,coffee,instantfoods,ramen,drink,fastfood,NA
C1317,0.45,0,0,0.55,0,0,0,0,0,0,0,0.18,10830,2,0.55,0.45,0,0,0.55,0,0,0,0,0.45,2,2.136396848991781,2,5415,0.1527820746054036,apple/sweetmelon,milk,NA,fruite,dairy,NA
C1318,0,0,0,0,0,0,0,1,0,0,0,0.09,3590,1,1,0,0,0,0,0,0,1,0,0,1,3.1622776601683795,1,3590,0,ketchupandmayoneise,NA,NA,sauce,NA,NA
C1319,0.1,0,0.03,0.15,0.43,0,0.13,0,0,0,0.16,0.55,85172,17,0.05,0.57,0.38,0.04,0.1,0.21,0,0,0.17,0.48,11,1.369757305296328,9,9463.555555555555,0.6604269468825463,beans,eidbleherbs,milk,house_prod,vegetable,fruite
C1320,0.36,0.02,0.57,0.04,0,0,0,0,0,0,0,0.36,59490,16,0.03,0.76,0.21,0.2,0.04,0.31,0.27,0.17,0,0.01,7,2.0211599269222043,13,4576.153846153846,0.858959894662396,milk,fermentedmilk,otherreadymadefoods,fastfood,dairy,fruite
