custid,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,n_distinct(prod),ct_cov,vdays,day_mean_amt,day_cov,first_cnt.prod,second_cnt.prod,third_cnt.prod,first_money.prod_ct,second_money.prod_ct,third_money.prod_ct
C0001,0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.1789812480639945,1,5840,0,cheese/butter,softdrinks,NA,drink,dairy,NA
C0002,0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,7,1.8126624334665093,4,22542,0.6056786345209222,koreanbeef,apple/sweetmelon,fermentedmilk,meat,fruite,fastfood
C0003,0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.650927419097259,2,4990,0.011336381261507777,chilledlivestock,chocolete,softdrinks,meat,sauce,snack
C0004,0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,24,0.7624592828911866,9,22394,0.4612122059330104,beans,harddrinks,eggs,drink,meat,vegetable
C0005,0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,15,1.2628759901088447,15,6246.2,1.2652549599326333,chilledlivestock,beans,noodles,house_prod,meat,fastfood
C0006,0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.162277660168379,1,3980,0,bottledfoods,NA,NA,fastfood,NA,NA
C0008,0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,9,1.3159968065301593,4,10637.5,0.3035854079660282,chilleddairymilks,lattuce,artificialpowders,dairy,seafood,vegetable
C0011,0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,2,2.179608564575374,5,3438,0.5051142674416332,fermentedmilk,harddrinks,NA,dairy,drink,NA
C0012,0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,13,1.3650904129715378,9,5972.222222222223,0.6410283585059787,icecream,bottledfoods,cooky/cakes,meat,fastfood,snack
C0013,0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.3290348746396647,3,3550,0.8344306733939343,eggs,eidbleherbs,fermentedmilk,dairy,vegetable,fruite
C0015,0,0,0.42,0,0.25,0,0,0,0,0.21,0.11,0.36,46800,6,0,1,0,0,0,0,0,1,0,0,6,1.5171482174018582,1,46800,0,beans,bottledfoods,cookingoil,fastfood,house_prod,snack
C0016,0.07,0.05,0,0.03,0.02,0,0.21,0.07,0.16,0,0.37,0.82,609108,81,0.08,0.68,0.24,0.04,0.18,0.2,0.06,0.11,0,0.41,25,1.2194046425714633,34,17914.941176470587,0.8426658051378582,othervegetables,fruitvegetables,lattuce,vegetable,meat,seafood
C0017,0,0,0.44,0.16,0.08,0,0.11,0,0,0.19,0.03,0.55,51426,10,0.16,0.73,0.12,0,0.04,0.39,0.22,0.19,0,0.16,8,1.4101684491588935,9,5714,0.531182233678943,importedbeef,ready-mademeals,chilledagriculturalproducts,fastfood,snack,fruite
C0019,0.07,0.08,0.01,0.48,0,0,0.07,0.08,0.09,0,0.11,0.73,53210,13,0,1,0,0.13,0,0.2,0.48,0,0.19,0,11,1.411958031114511,5,10642,0.5230706410899756,apple/sweetmelon,softdrinks,artificialpowders,fruite,vegetable,seafood
C0020,0,0,1,0,0,0,0,0,0,0,0,0.09,10000,1,0,0,1,0,1,0,0,0,0,0,1,3.1622776601683786,1,10000,0,otherreadymadefoods,NA,NA,fastfood,NA,NA
C0021,0,0,0.08,0,0,0,0,0,0,0.92,0,0.18,40090,2,0,1,0,0,0.92,0,0,0,0.08,0,2,2.8963308875704854,2,20045,1.1891528856971074,maincereals,ramen,NA,snack,fastfood,NA
C0022,0.14,0.06,0.09,0.18,0.11,0,0.02,0.04,0.02,0.01,0.34,0.91,191418,46,0.08,0.89,0.03,0.07,0.02,0.44,0.1,0.12,0.02,0.23,21,1.0488740033352304,22,8700.818181818182,1.526017922237539,rootvegetables,eidbleherbs,fermentedmilk,vegetable,fruite,dairy
C0023,0,0.06,0.15,0.23,0.16,0,0.04,0,0.08,0.06,0.21,0.82,267788,69,0.07,0.82,0.11,0.14,0.18,0.24,0.15,0.06,0,0.22,30,0.8654915516892043,42,6375.9047619047615,0.6738619753507599,beans,chilledagriculturalproducts,banana/importedfruits,fruite,vegetable,house_prod
C0024,0.18,0.03,0.14,0.09,0.17,0,0.14,0.07,0.12,0.04,0.03,0.91,154058,34,0.23,0.64,0.13,0.11,0.32,0.04,0.19,0.17,0.13,0.04,19,0.6657119344988571,18,8558.777777777777,0.9796919464432626,milk,beans,softdrinks,dairy,house_prod,fastfood
C0025,0.28,0,0.45,0,0.28,0,0,0,0,0,0,0.27,12970,3,0,0.72,0.28,0,0,0,0,0,1,0,3,1.6963702886091032,2,6485,0.6291451237388402,chilledagriculturalproducts,fermentedmilk,instantfoods,fastfood,dairy,house_prod
C0026,0,1,0,0,0,0,0,0,0,0,0,0.09,8820,2,0,0,1,0,0,0,0,0,1,0,2,3.1622776601683786,1,8820,0,harddrinks,otherbeverages,NA,drink,NA,NA
C0027,0,0,0,0,0,0,0,0,0,0,1,0.09,1990,1,0,1,0,0,0,0,1,0,0,0,1,3.162277660168379,1,1990,0,lattuce,NA,NA,vegetable,NA,NA
C0028,0,0,0.02,0.63,0,0,0,0,0,0.35,0,0.27,28630,7,0,0.46,0.54,0.37,0.17,0,0,0.46,0,0,5,2.162919304578078,4,7157.5,0.7928253672579717,cooky/cakes,dryfruits,ramen,fruite,snack,fastfood
C0030,0.03,0.16,0.21,0,0.21,0,0,0.32,0,0.07,0,0.55,13920,8,0.07,0.79,0.14,0,0.03,0.14,0.62,0.14,0.07,0,8,1.1972266727615646,7,1988.5714285714287,0.7831730581613584,bottledfoods,chilledagriculturalproducts,harddrinks,sauce,house_prod,fastfood
C0031,0,0,0,0.66,0.24,0,0,0,0,0.1,0,0.27,19550,3,0,1,0,0,0,0,0,0,0,1,3,2.1276282315450166,2,9775,0.4521143102215777,candy-gum,chilledagriculturalproducts,tomato/plum/melon,fruite,house_prod,snack
C0032,0,0,0.59,0,0,0,0,0,0,0.41,0,0.18,2390,2,0,1,0,0.59,0.41,0,0,0,0,0,2,2.159133659768771,2,1195,0.24260567387990334,bottledfoods,snacks,NA,fastfood,snack,NA
C0033,0.19,0.22,0.26,0,0.04,0,0,0,0,0.29,0,0.45,22430,10,0,0.41,0.59,0.32,0.28,0,0,0.33,0.04,0.03,7,1.2609326395670588,9,2492.222222222222,0.9129452742338136,softdrinks,candy-gum,milk,snack,fastfood,drink
C0034,0,0,1,0,0,0,0,0,0,0,0,0.09,13980,1,0,1,0,0,0,0,0,1,0,0,1,3.162277660168378,1,13980,0,instantfoods,NA,NA,fastfood,NA,NA
C0035,0,0.34,0,0,0,0,0,0,0.66,0,0,0.18,11980,2,0,1,0,0,0.34,0,0,0,0,0.66,2,2.249269013419558,2,5990,0.45094288883683,harddrinks,otherlivefish,NA,seafood,drink,NA
C0036,0,0,0,0.62,0,0,0,0,0,0.38,0,0.18,7906,2,1,0,0,0,0,0,1,0,0,0,2,2.1953735066302116,1,7906,0,cooky/cakes,pear/kiwi/grape,NA,fruite,snack,NA
C0037,0.03,0.02,0.28,0,0.39,0,0,0.05,0.09,0.14,0,0.64,75830,11,0.31,0.45,0.24,0,0.03,0,0,0.95,0.02,0,10,1.386831100874916,5,15166,0.9147451710985127,bottledfoods,cooky/cakes,driedfish,house_prod,fastfood,snack
C0038,0,0,0,0,0.4,0,0,0.6,0,0,0,0.18,9800,3,0,1,0,0,0,0,0,1,0,0,3,2.174642779935331,1,9800,0,hairproducts,ketchupandmayoneise,sweeteners,sauce,house_prod,NA
C0039,0,0,0,0,0,1,0,0,0,0,0,0.09,1600,1,0,1,0,0,0,1,0,0,0,0,1,3.1622776601683786,1,1600,0,cosmetics,NA,NA,makeup,NA,NA
C0041,0.12,0.19,0.07,0.11,0.17,0,0.07,0.05,0.03,0.1,0.08,0.91,558644,114,0.36,0.61,0.02,0.19,0.25,0.08,0.2,0.13,0.08,0.07,47,0.5826372219468556,44,12696.454545454546,1.0176730507371603,softdrinks,fermentedmilk,fruitvegetables,drink,house_prod,dairy
C0042,0,0.1,0,0,0,0,0,0,0.51,0,0.4,0.27,19458,6,0.21,0.79,0,0.79,0.21,0,0,0,0,0,6,1.9156489661982892,2,9729,0.834224651501613,eidbleherbs,harddrinks,otherlivefish,seafood,vegetable,drink
C0043,0.09,0,0,0,0,0,0.29,0.06,0.23,0.07,0.26,0.55,34310,8,0,0.35,0.65,0.35,0,0.17,0,0,0.48,0,7,1.192588176228122,3,11436.666666666666,0.4594596441459659,beans,fermentedmilk,ketchupandmayoneise,meat,vegetable,seafood
C0044,0,1,0,0,0,0,0,0,0,0,0,0.09,23600,1,0,1,0,0,0,0,0,1,0,0,1,3.1622776601683795,1,23600,0,coffee,NA,NA,drink,NA,NA
C0045,0,0,0,0,0,0,1,0,0,0,0,0.09,16182,2,0,0.56,0.44,1,0,0,0,0,0,0,1,3.1622776601683795,2,8091,0.1588827250274556,koreanpork,NA,NA,meat,NA,NA
C0047,0,0,0.39,0,0,0,0.23,0,0.27,0.11,0,0.36,18940,6,0,0.21,0.79,0.61,0,0,0,0.18,0.21,0,6,1.4855723920182633,3,6313.333333333333,0.7140824608552927,chilledlivestock,chilledseafood,cooky/cakes,fastfood,seafood,meat
C0049,0,0,1,0,0,0,0,0,0,0,0,0.09,11880,1,0,1,0,1,0,0,0,0,0,0,1,3.162277660168379,1,11880,0,otherreadymadefoods,NA,NA,fastfood,NA,NA
C0050,0.2,0.35,0.13,0,0,0,0.09,0,0.22,0,0,0.45,75381,8,0.22,0.71,0.07,0.7,0.13,0,0.09,0.07,0,0,5,1.2804920754753393,5,15076.2,0.8439645545168449,fermentedmilk,softdrinks,frozendumpling,drink,seafood,dairy
C0051,0.17,0.09,0.07,0.4,0.17,0,0,0.03,0,0.01,0.07,0.73,175670,45,0.05,0.7,0.25,0.16,0.06,0.34,0.12,0.14,0.02,0.17,20,1.254580920777984,28,6273.928571428572,1.0902167001205472,fermentedmilk,apple/sweetmelon,fruitvegetables,fruite,dairy,house_prod
C0052,0,0,0,0,0,0,0,0,0,1,0,0.09,1500,1,0,1,0,0,0,0,1,0,0,0,1,3.162277660168378,1,1500,0,bread,NA,NA,snack,NA,NA
C0053,0.06,0.32,0,0,0.5,0,0,0.12,0,0,0,0.36,31470,5,0,0.5,0.5,0,0,0.82,0.12,0.06,0,0,5,1.7544948505464368,3,10490,1.2665765272591163,harddrinks,icecream,ketchupandmayoneise,house_prod,drink,sauce
C0054,0,0,0,0,0,0,0,0,0,0,1,0.09,600,1,0,1,0,0,0,0,1,0,0,0,1,3.1622776601683795,1,600,0,eidbleherbs,NA,NA,vegetable,NA,NA
C0055,0.12,0,0.35,0.45,0,0,0,0,0,0,0.08,0.36,56931,11,0.45,0.44,0.11,0,0,0.85,0,0,0,0.15,9,1.667361008035669,6,9488.5,0.6083032917419222,apple/sweetmelon,otherreadymadefoods,beans,fruite,fastfood,dairy
C0056,0,0,0.48,0,0,0,0,0,0.24,0.29,0,0.27,20970,3,0,1,0,0,1,0,0,0,0,0,3,1.7376361432560024,1,20970,0,otherlivefish,otherreadymadefoods,ready-madesnacks,fastfood,snack,seafood
C0057,0,0,0.07,0.13,0,0,0.62,0,0,0.13,0.05,0.45,29756,6,0.57,0.35,0.07,0,0,0.05,0.07,0.13,0.4,0.35,6,1.9095698986066323,6,4959.333333333333,0.764682566067288,banana/importedfruits,chilledlivestock,chillednoodles,meat,fruite,snack
C0058,0,0.03,0.04,0.05,0.09,0,0.39,0,0.25,0,0.14,0.64,170683,23,0,0.78,0.22,0,0.23,0,0.03,0.74,0.01,0,16,1.3255534763234584,9,18964.777777777777,1.5105562395032983,harddrinks,otherlivefish,bottledfoods,meat,seafood,vegetable
C0059,0.02,0.03,0.09,0.33,0.2,0,0.13,0,0.04,0.07,0.09,0.82,87864,18,0.11,0.37,0.52,0.23,0,0.04,0.4,0.3,0,0.03,15,1.041873894968623,13,6758.7692307692305,0.7407587391515291,kitchen/housedetergents,mandarinorange/watermelonandotherfruits,ramen,fruite,house_prod,meat
C0060,0,0,0,0,0.24,0,0.23,0,0.53,0,0,0.27,30340,4,0.23,0.77,0,0,0.57,0,0.43,0,0,0,4,1.8112015587244752,3,10113.333333333334,0.6242204667717914,driedfish,frozenmeat,laundrydetergent,seafood,house_prod,meat
C0062,0.11,0,0.72,0,0,0,0,0.14,0,0.02,0,0.36,27717,4,0.83,0.17,0,0.14,0,0,0.11,0.02,0,0.72,4,2.2573951685317293,4,6929.25,1.2736648047526662,milk,otherreadymadefoods,snacks,fastfood,sauce,dairy
C0063,0,0,0,0,0.09,0,0.17,0,0,0,0.74,0.27,47390,3,0,1,0,0,0,0.09,0,0,0.91,0,3,2.322198929414336,2,23695,1.1486195403194857,dentalproducts,koreanchicken,rootvegetables,vegetable,meat,house_prod
C0065,0,0,0,0.5,0,0,0.5,0,0,0,0,0.18,19800,2,0.5,0.5,0,0,0,0,0.5,0,0,0.5,2,2.1213203435596424,2,9900,0,apple/sweetmelon,seasonedmeat,NA,fruite,meat,NA
C0066,0,0,1,0,0,0,0,0,0,0,0,0.09,2990,1,0,0,1,0,0,0,0,0,0,1,1,3.16227766016838,1,2990,0,bottledfoods,NA,NA,fastfood,NA,NA
C0067,0,0.02,0.07,0,0,0,0.67,0,0.24,0,0,0.36,91204,7,0.07,0.51,0.42,0.22,0.07,0,0.44,0.27,0,0,4,2.1544481455876925,7,13029.142857142857,1.0195050852768122,otherlivefish,koreanpork,harddrinks,meat,seafood,fastfood
C0068,0,0,1,0,0,0,0,0,0,0,0,0.09,990,1,0,0,1,0,0,0,0,1,0,0,1,3.162277660168379,1,990,0,processeddryfoods,NA,NA,fastfood,NA,NA
C0069,0.1,0.06,0.08,0.17,0.06,0,0.27,0,0.13,0.04,0.08,0.91,338064,58,0.32,0.6,0.08,0.02,0,0.03,0.03,0.08,0.75,0.09,27,0.8256699978472901,20,16903.2,1.2762253419989449,harddrinks,snacks,softdrinks,meat,fruite,seafood
C0070,0.06,0.01,0.16,0.22,0,0,0.18,0,0.21,0.11,0.04,0.91,549298,69,0,0.06,0.94,0.08,0.17,0.19,0.4,0,0,0.15,31,0.9255968965691422,34,16155.823529411764,0.7274176996668571,otherlivefish,otherreadymadefoods,fermentedmilk,fruite,seafood,meat
C0071,0,0,0.11,0,0,0,0,0,0.83,0,0.06,0.27,17890,3,0,0.17,0.83,0,0,0,0,1,0,0,3,2.6078395493847557,2,8945,0.9414915331393829,chillednoodles,eidbleherbs,otherlivefish,seafood,fastfood,vegetable
C0072,0.11,0.48,0.04,0.11,0,0,0,0,0.19,0,0.06,0.55,148215,23,0.43,0.27,0.3,0.16,0.23,0.22,0.26,0.07,0.01,0.05,16,1.5177742411913526,17,8718.529411764706,0.8525901746730233,harddrinks,banana/importedfruits,beans,drink,seafood,dairy
C0073,0.34,0.01,0.03,0.15,0.1,0,0.22,0.02,0,0.07,0.08,0.82,106870,24,0,0.8,0.2,0.16,0.06,0.09,0.02,0.08,0,0.6,17,1.1100154405799694,17,6286.470588235294,0.7936344176969666,eggs,fruitvegetables,chilleddairymilks,dairy,meat,fruite
C0075,0.03,0.21,0.06,0.27,0.01,0,0.16,0.02,0.1,0.1,0.04,0.91,218109,38,0.57,0.37,0.06,0.07,0.04,0.32,0.05,0.2,0.33,0,23,0.926609316837045,13,16777.615384615383,0.501322967886598,harddrinks,candy-gum,mushrooms,fruite,drink,meat
C0076,0.24,0.02,0.09,0,0,0,0.14,0.28,0.03,0.1,0.11,0.73,60743,15,0.25,0.51,0.24,0.11,0.21,0.49,0,0,0.06,0.13,12,1.0110415213918174,13,4672.538461538462,0.9259224583303594,cooky/cakes,eggs,fermentedmilk,sauce,dairy,meat
C0078,0.25,0.03,0.06,0,0,0,0,0.13,0,0.11,0.42,0.55,53290,14,0,0.46,0.54,0.14,0.11,0.04,0,0.11,0.38,0.22,10,1.427869858734403,10,5329,0.7905218636077338,milk,beans,ketchupandmayoneise,vegetable,dairy,sauce
C0079,0.23,0,0,0,0,0,0.77,0,0,0,0,0.18,4192,2,0,1,0,0,0,0,0.23,0.77,0,0,2,2.467243870425642,2,2096,0.759734957648905,chilleddairymilks,koreanpork,NA,meat,dairy,NA
C0080,0,0,0.21,0.1,0,0,0,0,0,0.64,0.05,0.36,19180,9,0,1,0,0.16,0,0,0,0,0,0.84,5,2.0223009695927474,3,6393.333333333333,0.6692597166250566,bakery,cooky/cakes,otherreadymadefoods,snack,fastfood,fruite
C0084,0,0.63,0,0.01,0.08,0,0,0.11,0,0.11,0.06,0.55,97586,10,0.08,0.92,0,0,0.08,0.59,0.18,0,0.15,0,9,1.944989492772214,5,19517.2,0.8935809335890122,softdrinks,cookingoil,fruitvegetables,drink,snack,sauce
C0085,0.18,0.02,0.06,0.14,0.08,0,0.41,0,0,0.05,0.06,0.73,234566,29,0.28,0.48,0.24,0,0.03,0.23,0.25,0,0.06,0.42,18,1.2605973351178152,14,16754.714285714286,0.8535839178395371,banana/importedfruits,koreanbeef,ramen,meat,dairy,fruite
C0087,1,0,0,0,0,0,0,0,0,0,0,0.09,1490,1,0,1,0,0,0,0,0,1,0,0,1,3.162277660168379,1,1490,0,chinesecabbages,NA,NA,dairy,NA,NA
C0089,0,1,0,0,0,0,0,0,0,0,0,0.09,1500,1,0,1,0,0,0,0,0,1,0,0,1,3.162277660168378,1,1500,0,softdrinks,NA,NA,drink,NA,NA
C0090,0,1,0,0,0,0,0,0,0,0,0,0.09,8360,1,0,0,1,0,0,1,0,0,0,0,1,3.162277660168379,1,8360,0,harddrinks,NA,NA,drink,NA,NA
C0091,0,0.15,0,0,0,0,0,0,0.18,0.67,0,0.27,43370,6,0,1,0,0.65,0,0,0,0,0,0.35,6,2.1260601468056755,2,21685,0.4307530818295731,cooky/cakes,minorcereals,otherlivefish,snack,seafood,drink
C0093,0.19,0,0,0.37,0,0,0,0,0.44,0,0,0.27,13560,3,0.19,0.44,0.37,0,0,0,0.19,0,0.81,0,3,1.739596266050007,3,4520,0.3835098979222961,banana/importedfruits,livefish,milk,seafood,fruite,dairy
C0094,0,0,0.07,0,0.1,0,0.03,0,0.15,0.03,0.63,0.55,46384,16,0.15,0.65,0.2,0.11,0.4,0,0.31,0.09,0,0.09,9,1.9606594800938395,10,4638.4,0.45993584348269784,eidbleherbs,mushrooms,lattuce,vegetable,seafood,house_prod
C0095,0.4,0,0.11,0,0,0,0,0,0.11,0.29,0.1,0.45,18790,10,0,0.54,0.46,0.55,0,0.1,0.35,0,0,0,7,1.4308597667424323,5,3758,0.885788737609902,icecream,fermentedmilk,beans,dairy,snack,fastfood
C0096,0,0,0,0,0,0,0,0,0,0,1,0.09,1557,1,0,1,0,0,0,1,0,0,0,0,1,3.16227766016838,1,1557,0,rootvegetables,NA,NA,vegetable,NA,NA
C0097,0,0,0.11,0.2,0.33,0,0,0,0.2,0.04,0.12,0.55,50303,14,0.56,0.44,0,0.3,0.26,0.11,0.04,0,0.02,0.28,13,1.175500691840383,11,4573,0.7926507749906427,snacks,bottledfoods,chilledagriculturalproducts,house_prod,fruite,seafood
C0098,0.12,0,0,0.2,0.01,0,0,0,0.12,0.03,0.53,0.55,112815,27,0.22,0.69,0.1,0.14,0.25,0.19,0.05,0.18,0.09,0.09,12,1.672524711541213,16,7050.9375,0.7620072998370452,beans,fruitvegetables,eggs,vegetable,fruite,seafood
C0099,0.21,0.07,0.07,0.27,0,0,0,0.18,0,0.2,0,0.55,43290,10,0.17,0.83,0,0.44,0,0.35,0.13,0,0,0.08,9,1.091485893664101,7,6184.285714285715,0.4349853140052633,soysaucesandpastes,bakery,eggs,fruite,dairy,snack
C0100,0.11,0.06,0.06,0.38,0.14,0,0.03,0.08,0,0.08,0.06,0.82,218220,54,0.13,0.71,0.16,0.06,0.05,0.32,0.23,0.12,0.08,0.14,26,1.0957831830229465,25,8728.8,0.8406538069347437,beans,chocolete,milk,fruite,house_prod,dairy
C0101,0,0,0.49,0,0,0,0.51,0,0,0,0,0.18,2740,2,0,1,0,0,0,0,0,0,1,0,2,2.1215966029288333,1,2740,0,chilledlivestock,instantfoods,NA,meat,fastfood,NA
C0102,0.02,0.06,0,0,0.33,0,0.15,0,0.05,0.38,0,0.55,38810,8,0,0.7,0.3,0,0,0,0,0,0.85,0.15,7,1.4690484479899284,4,9702.5,0.4683112309039594,harddrinks,chilledagriculturalproducts,chilleddairymilks,snack,house_prod,meat
C0103,0.2,0,0,0,0,0,0.51,0,0,0.29,0,0.27,6921,3,0,1,0,0,0,0,0,0.49,0,0.51,3,1.7959572593239033,2,3460.5,0.028811459658229503,fermentedmilk,importedbeef,snacks,meat,snack,dairy
C0104,0.39,0,0,0,0,0,0,0.15,0.2,0.25,0,0.36,11880,5,0.17,0.29,0.55,0,0.17,0.6,0.08,0,0,0.15,4,1.4541298781252883,5,2376,0.5852030200542271,cooky/cakes,driedfish,eggs,dairy,snack,seafood
C0105,0.12,0.34,0.32,0,0,0,0,0.18,0,0.04,0,0.45,97190,13,0,0.93,0.07,0,0,0.35,0.02,0.39,0.15,0.08,8,1.3887418079775025,9,10798.888888888889,0.699042269021901,ramen,coffee,instantfoods,drink,fastfood,sauce
C0106,0.07,0.29,0.1,0.19,0.03,0,0.14,0.03,0.02,0.04,0.1,0.91,249354,35,0.02,0.14,0.84,0.33,0,0.16,0.06,0.25,0.07,0.12,21,0.9082223952077565,23,10841.478260869566,0.6882783579542855,harddrinks,apple/sweetmelon,eggs,drink,fruite,meat
C0107,0,0,0,1,0,0,0,0,0,0,0,0.09,690,1,0,0,1,1,0,0,0,0,0,0,1,3.16227766016838,1,690,0,fruitvegetables,NA,NA,fruite,NA,NA
C0108,0.06,0,0.2,0,0.18,0,0.39,0.07,0.02,0.05,0.03,0.73,104208,18,0.23,0.23,0.54,0.11,0,0.34,0.1,0.22,0.13,0.1,16,1.2730550317238252,10,10420.8,0.9518604582533005,icecream,ramen,candy-gum,meat,fastfood,house_prod
C0109,0,0,0,0,0,0,0,0,1,0,0,0.09,3990,1,0,1,0,0,0,0,0,0,1,0,1,3.1622776601683786,1,3990,0,driedfish,NA,NA,seafood,NA,NA
C0111,0,0,0,0.1,0,0,0.9,0,0,0,0,0.18,13260,2,0,1,0,0,0,0.9,0,0,0,0.1,2,2.840412815819528,2,6630,1.1390498375674702,fruitvegetables,koreanchicken,NA,meat,fruite,NA
C0113,0.01,0.5,0,0.03,0,0,0.07,0.1,0.12,0.04,0.12,0.73,41590,12,0,0.13,0.87,0,0,0.05,0.16,0.14,0.34,0.3,10,1.51866999518401,9,4621.111111111111,0.8744805481540582,harddrinks,banana/importedfruits,cooky/cakes,drink,vegetable,seafood
C0114,0,0,0.11,0,0.34,0,0,0,0,0.54,0,0.27,8740,5,0,0.66,0.34,0.29,0.34,0,0,0,0,0.37,4,1.9184507739353802,3,2913.3333333333335,0.13072051084290234,snacks,bottledfoods,candy-gum,snack,house_prod,fastfood
C0115,0.06,0.19,0,0.05,0,0,0.61,0,0.07,0,0.02,0.55,91518,7,0.31,0.63,0.07,0,0.31,0.05,0.06,0.5,0,0.08,6,1.900114672208402,6,15253,1.1502768934614753,koreanbeef,banana/importedfruits,cheese/butter,meat,drink,seafood
C0116,0,0,0.09,0,0,0,0.91,0,0,0,0,0.18,70678,3,0,0.33,0.67,0,0.24,0.67,0,0,0,0.09,2,2.8668639003277923,3,23559.333333333332,0.9057695729943358,importedbeef,fastfoods,NA,meat,fastfood,NA
C0117,0,1,0,0,0,0,0,0,0,0,0,0.09,1000,1,1,0,0,0,0,0,0,1,0,0,1,3.1622776601683804,1,1000,0,softdrinks,NA,NA,drink,NA,NA
C0118,0.02,0,0.3,0.28,0.2,0,0,0.08,0.11,0,0,0.55,35280,6,0.7,0.3,0,0,0,0,0.8,0,0.2,0,6,1.2360174161051267,3,11760,0.957183514866852,banana/importedfruits,dentalproducts,driedfish,fastfood,fruite,house_prod
C0120,0,0,0.7,0,0.3,0,0,0,0,0,0,0.18,8600,2,0,1,0,0,0,0,0,1,0,0,2,2.315092625999035,1,8600,0,bottledfoods,sanitaryproducts,NA,fastfood,house_prod,NA
C0121,0.14,0,0.07,0.5,0.03,0.02,0.14,0.02,0.02,0.01,0.06,0.91,207528,37,0.07,0.73,0.21,0.1,0.19,0.16,0.27,0.04,0,0.24,26,1.5129870606334168,20,10376.4,0.7989759455012632,milk,ramen,apple/sweetmelon,fruite,dairy,meat
C0122,0.19,0,0.6,0,0,0,0,0,0,0.21,0,0.27,12560,4,0.03,0.75,0.21,0,0,0,0,0.81,0.19,0,3,1.95033989678996,2,6280,0.87374978057446,icecream,chillednoodles,snacks,fastfood,snack,dairy
C0123,0.17,0.01,0.06,0.07,0.31,0,0.28,0,0,0,0.1,0.64,53279,12,0.96,0.04,0,0.3,0.66,0,0,0,0.04,0,12,1.1970953272590243,3,17759.666666666668,0.9246215628378057,banana/importedfruits,chilledagriculturalproducts,chillednoodles,house_prod,meat,dairy
C0124,0,0,0,1,0,0,0,0,0,0,0,0.09,2000,1,0,1,0,0,0,0,0,0,1,0,1,3.1622776601683804,1,2000,0,fruitvegetables,NA,NA,fruite,NA,NA
C0125,0.1,0.07,0.04,0.44,0.04,0,0.14,0.03,0.02,0.01,0.12,0.91,248942,56,0.8,0.19,0.01,0.37,0.19,0.08,0.23,0.01,0.01,0.11,27,1.29855887905056,27,9220.074074074075,0.9354821237968082,fruitvegetables,softdrinks,apple/sweetmelon,fruite,meat,vegetable
C0126,0.07,0,0.23,0.19,0.21,0,0,0.04,0.07,0.12,0.07,0.73,68130,18,0.24,0.76,0,0,0.37,0,0.24,0,0,0.39,14,0.9014073298830795,5,13626,0.5379062746025172,beans,fruitvegetables,milk,fastfood,house_prod,fruite
C0128,0,1,0,0,0,0,0,0,0,0,0,0.09,830,1,0,1,0,0,1,0,0,0,0,0,1,3.1622776601683795,1,830,0,softdrinks,NA,NA,drink,NA,NA
C0130,0.19,0,0.25,0,0.17,0,0,0,0.04,0.16,0.19,0.55,46162,12,0.04,0.56,0.4,0.04,0.28,0,0.69,0,0,0,11,1.0453242280290722,6,7693.666666666667,0.7875147339800317,chilledagriculturalproducts,bottledfoods,candy-gum,fastfood,dairy,vegetable
C0132,0.4,0.01,0.21,0,0,0,0,0,0.08,0.17,0.13,0.55,73160,18,0,0.75,0.25,0.18,0.18,0.29,0.01,0.01,0.06,0.27,10,1.352264341718203,14,5225.714285714285,0.7676712501347892,milk,fermentedmilk,beans,dairy,fastfood,snack
C0133,0.02,0.06,0.05,0.1,0.13,0,0.03,0.17,0.08,0.35,0.02,0.91,240342,30,0.27,0.72,0.01,0.05,0.22,0.12,0.21,0,0,0.41,21,1.0612746210638002,17,14137.764705882353,1.2289609785707816,bakery,ramen,cooky/cakes,snack,sauce,house_prod
